108042	(-0.1355134,51.5235613)	Simmons
262706	(-0.7251785,51.0350300)	Kings Arms
262707	(-0.8548080,51.0439000)	The Flying Bull
262708	(-0.7262580,51.0244000)	Duke of Cumberland
262709	(-0.7791497,50.9932238)	Hamilton Arms
262714	(-0.8056510,51.0359000)	Rising Sun
262768	(-0.8131385,50.9791348)	Elsted Inn
262801	(-0.8832655,50.9695602)	The White Hart
262820	(-0.9498667,51.0224274)	Cricketers Inn
271112	(-1.5270942,50.8904874)	The New Forest
271144	(-1.9742222,51.0827360)	The Wyndham Arms
271179	(-1.1891451,51.0179096)	Milburys
271262	(-1.6709581,50.9262557)	Royal Oak
271300	(-1.5997844,50.7868975)	Hare and Hounds
271339	(-1.8568584,51.3535256)	The Barge
271360	(-2.0343697,51.0097183)	Crown Inn
271404	(-1.5038697,50.8545729)	The Drift Inn
271421	(-1.6192629,50.9133439)	Sir Walter Tyrrell
271448	(-1.9900246,51.1390078)	Bell Inn
271466	(-1.5494749,50.7837119)	The Red Lion
271490	(-1.5114974,51.3072223)	The George Inn
376728	(-1.7052948,51.8068567)	Inn for All Seasons
451152	(-0.1946078,51.6008404)	King of Prussia
451154	(-0.1960280,51.5995788)	The Catcher in the Rye
451271	(-0.1765556,51.6141038)	The Tally Ho
560504	(-1.2357353,51.7310912)	The Tree
581475	(-1.4989677,53.6828141)	The Black Rock
585119	(-1.2321564,51.7082465)	The Kings Arms
585120	(-1.4305534,51.8553749)	The White Horse
603242	(-1.2502902,50.9565412)	Robin Hood
608191	(-1.3119700,50.8806000)	Vine Inn
656983	(0.6882173,52.6468830)	The White Hart
656984	(0.6888825,52.6472020)	Greyhound
696510	(-1.0738841,50.6819842)	The Crab and Lobster Inn
1529094	(-1.5033504,53.6810328)	Harry's Bar
2433320	(-1.5427212,50.6717547)	High Down Inn
2509984	(0.7633634,50.9389453)	William the Conqueror
3788923	(-0.4783288,52.2522207)	Fox and Hounds
3798140	(-1.2086597,50.7094791)	White Hart Inn
3835145	(-2.8378862,53.1845461)	Ring o' Bells
3865117	(-0.5036502,52.1644930)	Fox and Hounds
4082703	(-0.4920456,52.1601477)	The Star
4156515	(-0.4688266,52.1413665)	The Wellington Arms
4156519	(-0.4684423,52.1419264)	The Balloon
4160491	(-0.4325746,52.1459306)	The New Sportsman
4372734	(-1.2518841,50.6321510)	The Griffin
5046122	(-0.3889219,52.1233166)	The Five Bells
5468439	(-1.3648877,51.8799615)	The Killingworth Castle Inn
5660446	(-1.5036035,51.8063148)	Crawley Inn
